log_index,transaction_hash,transaction_index,block_hash,block_number,address,data,topics
0,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000b60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,0x00000000000000000000000000000000000000000000000000000002540cf54e"
1,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x00000000000000000000000000000000000000000000000000000002540cf54e,0xe2babfd5e77285a3c3dbc4b25592cbe4a7a26e97a7ac63067a22ebdaa9b82add
2,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000b60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,0x00000000000000000000000000000000000000000000000000000002540c15c2"
3,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x00000000000000000000000000000000000000000000000000000002540c15c2,0xe2babfd5e77285a3c3dbc4b25592cbe4a7a26e97a7ac63067a22ebdaa9b82add
4,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000b60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,0x00000000000000000000000000000000000000000000000000000002540d4797"
5,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x00000000000000000000000000000000000000000000000000000002540d4797,0xe2babfd5e77285a3c3dbc4b25592cbe4a7a26e97a7ac63067a22ebdaa9b82add
6,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000b60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,0x00000000000000000000000000000000000000000000000000000002540d341e"
7,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x00000000000000000000000000000000000000000000000000000002540d341e,0xe2babfd5e77285a3c3dbc4b25592cbe4a7a26e97a7ac63067a22ebdaa9b82add
8,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000b60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,0x00000000000000000000000000000000000000000000000000000002540d5cda"
9,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,0,0x07c4ec833aea65128e842dc8c0d14214d9834cd4326ce17f376f1249607f8061,40645024,0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x00000000000000000000000000000000000000000000000000000002540d5cda,0xe2babfd5e77285a3c3dbc4b25592cbe4a7a26e97a7ac63067a22ebdaa9b82add
