token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0x75f94f04d2144cb6056ccd0cff1771573d838974,0x0000000000000000000000000000000000000000,0x25fca061759570cdb60fdb7ab3f7fd4a302abea9,1200000000000000000,0x6a1f98b9f245dcdb6c2777b09710d07f459342907fbeb095451f80b95f82f95a,318,4863390
0x5451be680daaf017b9f85bd900c724aca3199ccb,0x0000000000000000000000000000000000000000,0x4db5cfb7422361419dd78abc4db5fb1e60801c97,62328,0x149594a86e6bd5968d423e87fffa4b2121fe9021e8f332ed78bf3dfee67cdacd,7,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0x0cfc2504a9ef95a35cca16fa0de4c9fa6e1b63c5,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0xe567547342825fdcbcd30413436fd5cf67a279f7704057625e014fe0713221e0,9,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0x0cfc2504a9ef95a35cca16fa0de4c9fa6e1b63c5,67004,0xe567547342825fdcbcd30413436fd5cf67a279f7704057625e014fe0713221e0,11,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0x182dfff8ea7187f0f98855aeb67ab860cc31e182,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0xab3153b80e2066f55077d9df60ebaf9ddf652dce5ddd6b0370a0ce92bf679775,16,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0x182dfff8ea7187f0f98855aeb67ab860cc31e182,67005,0xab3153b80e2066f55077d9df60ebaf9ddf652dce5ddd6b0370a0ce92bf679775,18,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0xbd5a136176ddf6112fcf62e75e65ca9909b12add,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0x2377f0d97b315068fb8d70d2f72bceab4dc58794362376573d3db935c484c7f3,23,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0xbd5a136176ddf6112fcf62e75e65ca9909b12add,67006,0x2377f0d97b315068fb8d70d2f72bceab4dc58794362376573d3db935c484c7f3,25,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0xe43387a436cedf821028b4c0d6500d334b3ef7c6,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0x7c545a45792ded0a1b320352553268674e20fdb8d108fe840d9ff47c858f17c3,30,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0xe43387a436cedf821028b4c0d6500d334b3ef7c6,67007,0x7c545a45792ded0a1b320352553268674e20fdb8d108fe840d9ff47c858f17c3,32,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0x4317a4fd9ab1cd0badaced1ca432ff17644b49de,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0x3c8e2f71a13c58938ff329b321934ec0c7675e1832f4b8d2f347e87fc299c4f9,37,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0x4317a4fd9ab1cd0badaced1ca432ff17644b49de,67008,0x3c8e2f71a13c58938ff329b321934ec0c7675e1832f4b8d2f347e87fc299c4f9,39,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0x6630019e75b0c0c11c09a259c1809c054c09616c,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0xe76a6ccbb5db4fd154912918735296e23578b2d1e71236819e0cf8804e06de1d,44,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0x6630019e75b0c0c11c09a259c1809c054c09616c,67009,0xe76a6ccbb5db4fd154912918735296e23578b2d1e71236819e0cf8804e06de1d,46,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0xce9897810ee4979cd8cddc8f0f36288f60e72501,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0x8784add9c2e61f0a8f893de03df1b32f617f48c2fd817cf0aeb8a7dbf8a7e50a,51,4863390
0x4820416cf02094ac6b9c253f64777516713330f4,0x0000000000000000000000000000000000000000,0xce9897810ee4979cd8cddc8f0f36288f60e72501,67010,0x8784add9c2e61f0a8f893de03df1b32f617f48c2fd817cf0aeb8a7dbf8a7e50a,53,4863390
0x6b39cea2b80b7a549d6464aec9cab806477fcdb7,0x2fb3bce4af1f2e17f7ab9e1d8ef44e8f921dde31,0x0bcb9ea12d0b02d846fb8bbb8763ec8efecb4c79,3700000000000000000000,0x2ba8630f020f40d1250fcb49e82cfac30b54eead57fa672c609855d156ac9ba6,58,4863390
